Contest Name,Candidate Name,Party,Mail Ballots Votes,Vote Center Ballots Votes,Provisional Votes,Total Votes,Number Of Precincts,Precincts Reported,Ballots Cast,Vote For
,,,,,,,,,,
,,,,,,,,,,
Total Precincts Reported,2669,,,,,,,,,
PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP / JD VANCE,REP,61373.0,25981.0,873.0,87354.0,2669.0,800.0,277931.0,1.0
PRESIDENT AND VICE PRESIDENT,CLAUDIA DE LA CRUZ / KARINA GARCIA,PF,44945.0,19027.0,639.0,63972.0,2669.0,800.0,277931.0,
PRESIDENT AND VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ,DEM,26884.0,11381.0,382.0,38265.0,2669.0,800.0,277931.0,
PRESIDENT AND VICE PRESIDENT,ROBERT F. KENNEDY JR. / NICOLE SHANAHAN,AI,25378.0,10744.0,361.0,36122.0,2669.0,800.0,277931.0,
PRESIDENT AND VICE PRESIDENT,CHASE OLIVER / MIKE TER MAAT,LIB,18407.0,7792.0,261.0,26199.0,2669.0,800.0,277931.0,
PRESIDENT AND VICE PRESIDENT,JILL STEIN / RUDOLPH WARE,GRN,13145.0,5565.0,187.0,18710.0,2669.0,800.0,277931.0,
PRESIDENT AND VICE PRESIDENT,Peter Sonski / Lauren Onak,,5132.0,2173.0,73.0,7305.0,2669.0,800.0,277931.0,
UNITED STATES SENATOR (Full Term),STEVE GARVEY,REP,101574.0,42999.0,1445.0,144573.0,2669.0,800.0,277931.0,1.0
UNITED STATES SENATOR (Full Term),ADAM B. SCHIFF,DEM,93694.0,39663.0,1333.0,133357.0,2669.0,800.0,277931.0,
UNITED STATES SENATOR (Partial/Unexpired Term),STEVE GARVEY,REP,121727.0,51529.0,1732.0,173256.0,2669.0,800.0,277931.0,1.0
UNITED STATES SENATOR (Partial/Unexpired Term),ADAM B. SCHIFF,DEM,73542.0,31132.0,1046.0,104674.0,2669.0,800.0,277931.0,
UNITED STATES REPRESENTATIVE 48TH DISTRICT (SAN DIEGO PORTION ONLY),DARRELL E. ISSA,REP,27917.0,11818.0,397.0,39735.0,608.0,182.0,63312.0,1.0
UNITED STATES REPRESENTATIVE 48TH DISTRICT (SAN DIEGO PORTION ONLY),STEPHEN HOULAHAN,DEM,16564.0,7012.0,235.0,23576.0,608.0,182.0,63312.0,
UNITED STATES REPRESENTATIVE 49TH DISTRICT (SAN DIEGO PORTION ONLY),MIKE LEVIN,DEM,21430.0,9073.0,305.0,30503.0,460.0,138.0,47901.0,1.0
UNITED STATES REPRESENTATIVE 49TH DISTRICT (SAN DIEGO PORTION ONLY),MATT GUNDERSON,REP,12222.0,5175.0,173.0,17397.0,460.0,138.0,47901.0,
UNITED STATES REPRESENTATIVE 50TH DISTRICT,SCOTT PETERS,DEM,25173.0,10657.0,358.0,35830.0,630.0,189.0,65603.0,1.0
UNITED STATES REPRESENTATIVE 50TH DISTRICT,PETER J. BONO,REP,20917.0,8855.0,297.0,29772.0,630.0,189.0,65603.0,
UNITED STATES REPRESENTATIVE 51ST DISTRICT,SARA JACOBS,DEM,23070.0,9766.0,328.0,32836.0,516.0,154.0,53732.0,1.0
