Contest Name,Candidate Name,Party,Mail Ballots Votes,Vote Center Ballots Votes,Provisional Votes,Total Votes,Number Of Precincts,Precincts Reported,Ballots Cast,Vote For
,,,,,,,,,,
,,,,,,,,,,
Total Precincts Reported,2669,,,,,,,,,
PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP / JD VANCE,REP,149661.0,59498.0,2091.0,209159.0,2669.0,2535.0,873978.0,1.0
PRESIDENT AND VICE PRESIDENT,CLAUDIA DE LA CRUZ / KARINA GARCIA,PF,125550.0,49913.0,1754.0,175463.0,2669.0,2535.0,873978.0,
PRESIDENT AND VICE PRESIDENT,KAMALA D. HARRIS / TIM WALZ,DEM,109277.0,43443.0,1527.0,152720.0,2669.0,2535.0,873978.0,
PRESIDENT AND VICE PRESIDENT,ROBERT F. KENNEDY JR. / NICOLE SHANAHAN,AI,101651.0,40412.0,1420.0,142063.0,2669.0,2535.0,873978.0,
PRESIDENT AND VICE PRESIDENT,CHASE OLIVER / MIKE TER MAAT,LIB,79486.0,31600.0,1110.0,111086.0,2669.0,2535.0,873978.0,
PRESIDENT AND VICE PRESIDENT,JILL STEIN / RUDOLPH WARE,GRN,55156.0,21928.0,770.0,77084.0,2669.0,2535.0,873978.0,
PRESIDENT AND VICE PRESIDENT,Peter Sonski / Lauren Onak,,4578.0,1821.0,63.0,6399.0,2669.0,2535.0,873978.0,
UNITED STATES SENATOR (Full Term),STEVE GARVEY,REP,402676.0,160083.0,5627.0,562759.0,2669.0,2535.0,873978.0,1.0
UNITED STATES SENATOR (Full Term),ADAM B. SCHIFF,DEM,222689.0,88529.0,3112.0,311218.0,2669.0,2535.0,873978.0,
UNITED STATES SENATOR (Partial/Unexpired Term),STEVE GARVEY,REP,344417.0,136922.0,4813.0,481339.0,2669.0,2535.0,873978.0,1.0
UNITED STATES SENATOR (Partial/Unexpired Term),ADAM B. SCHIFF,DEM,280948.0,111690.0,3926.0,392638.0,2669.0,2535.0,873978.0,
UNITED STATES REPRESENTATIVE 48TH DISTRICT (SAN DIEGO PORTION ONLY),DARRELL E. ISSA,REP,81446.0,32379.0,1138.0,113825.0,608.0,577.0,199092.0,1.0
UNITED STATES REPRESENTATIVE 48TH DISTRICT (SAN DIEGO PORTION ONLY),STEPHEN HOULAHAN,DEM,61011.0,24255.0,852.0,85266.0,608.0,577.0,199092.0,
UNITED STATES REPRESENTATIVE 49TH DISTRICT (SAN DIEGO PORTION ONLY),MIKE LEVIN,DEM,66190.0,26314.0,925.0,92504.0,460.0,437.0,150629.0,1.0
UNITED STATES REPRESENTATIVE 49TH DISTRICT (SAN DIEGO PORTION ONLY),MATT GUNDERSON,REP,41590.0,16534.0,581.0,58124.0,460.0,437.0,150629.0,
UNITED STATES REPRESENTATIVE 50TH DISTRICT,SCOTT PETERS,DEM,91413.0,36341.0,1277.0,127754.0,630.0,598.0,206296.0,1.0
UNITED STATES REPRESENTATIVE 50TH DISTRICT,PETER J. BONO,REP,56199.0,22342.0,785.0,78541.0,630.0,598.0,206296.0,
UNITED STATES REPRESENTATIVE 51ST DISTRICT,SARA JACOBS,DEM,65213.0,25926.0,911.0,91139.0,516.0,490.0,168966.0,1.0
